group	whole_count	whole_all
Tetrahydromethanopterin S-methyltransferase subunit B	101	7270730
FUN14 family	109	7270730
Phage coat superfamily	13	7270730
N-terminal region of 4Fe-4S ferredoxin iron-sulfur binding	10	7270730
Halobacterial output domain 1	235	7270730
RNAse P Rpr2/Rpp21/SNM1 subunit domain	180	7270730
Pyrimidine dimer DNA glycosylase	25	7270730
Energy-converting hydrogenase B subunit P (EhbP)	74	7270730
Halobacterial output domain 2	7	7270730
Antirepressor AbbA	16	7270730
Antitoxin MazE-like	1737	7270730
Pre-toxin domain with VENN motif	6	7270730
Leader peptide SpeFL	4	7270730
Lactococcus bacteriophage putative transcription regulator	15	7270730
Ankyrin repeat superfamily	11192	7270730
PGBD superfamily	13313	7270730
C-terminal region of band_7	1556	7270730
Multicopper oxidase-like domain	6796	7270730
Late embryogenesis abundant protein	16	7270730
Scaffold protein Nfu/NifU N terminal	805	7270730
HIT superfamily	1744	7270730
Uncharacterized YrzK-like	3	7270730
DegQ (SacQ) family	4	7270730
Gallidermin	9	7270730
Tryptophan RNA-binding attenuator protein inhibitory protein	71	7270730
Rap-phr extracellular signalling	1	7270730
Uncharacterized YhdX-like	4	7270730
Hypothetical protein Yopt	1	7270730
Zinc-finger	68	7270730
Putative Competence protein ComGF	18	7270730
Bacteriocin subtilosin A	13	7270730
Glycosyl hydrolase family 65	1483	7270730
MerE protein	63	7270730
6-phosphogluconate dehydrogenase C-terminal-like superfamily	8636	7270730
Tryptophan operon leader peptide	2	7270730
Phage Tail Collar Domain	387	7270730
Photosystem II 10 kDa phosphoprotein	354	7270730
Phosphoribosyl-AMP cyclohydrolase	2354	7270730
Type-F conjugative transfer system pilin assembly protein	3	7270730
Maltose acetyltransferase	384	7270730
DoxD-like	217	7270730
SepZ	8	7270730
PASTA domain	10444	7270730
Delta lysin family	2	7270730
Photosystem II 4 kDa reaction centre component	302	7270730
PsbL protein	77	7270730
Toxin of toxin-antitoxin type 1 system	32	7270730
Dextransucrase DSRB	56	7270730
WXXGXW repeat (2 copies)	183	7270730
SCP-2 sterol transfer superfamily	1878	7270730
Virulence factor	1380	7270730
Pathogenicity island protein gp6 in Staphylococcus	1	7270730
SVM protein signal sequence	1	7270730
Frataxin-like domain	157	7270730
Photosystem I reaction centre subunit IX / PsaJ	175	7270730
Mu-like prophage FluMu N-terminal domain	53	7270730
HP0268	173	7270730
Gamma-butyrobetaine hydroxylase-like	999	7270730
KH-domain-like of EngA bacterial GTPase enzymes	5822	7270730
Prophage protein (DUF1660)	41	7270730
YfzA-like protein	10	7270730
PufQ cytochrome subunit	128	7270730
psiF repeat	924	7270730
MarB protein	65	7270730
Metallo-hydrolase/oxidoreductase superfamily	1404	7270730
Phosphoglucomutase/phosphomannomutase	13183	7270730
HrpA pilus formation protein	1	7270730
Bacillus cereus group antimicrobial protein	12	7270730
Spore morphogenesis and germination YwcE	8	7270730
Transposase domain (DUF772)	534	7270730
Radical_SAM C-terminal domain	1302	7270730
Twin-Arginine Translocation Motif	178	7270730
Bacteriochlorophyll C binding protein	35	7270730
PHB/PHA accumulation regulator DNA-binding domain	297	7270730
Methanol dehydrogenase beta subunit	44	7270730
PsaX family	44	7270730
SdpI/YfhL protein family	1115	7270730
Type II secretion prepilin peptidase dependent protein C	25	7270730
MoeA C-terminal region (domain IV)	6147	7270730
BssC/TutF protein	52	7270730
Baseplate wedge protein gp25	770	7270730
PEP-CTERM motif	3620	7270730
Flagellar basal body-associated protein FliL	1640	7270730
Benzylsuccinate synthase beta subunit	10	7270730
Chlamydia cysteine-rich outer membrane protein 3	2	7270730
MgrB protein	11	7270730
Alcohol dehydrogenase GroES-associated	184	7270730
Virulence promoting factor	6	7270730
Cytochrome B6-F complex subunit 5	214	7270730
DnaB-like helicase N terminal domain	12	7270730
Putative prophage tail fibre C-terminus	13	7270730
FAD/NAD-linked reductase C-terminal domain superfamily	4727	7270730
CDP-alcohol phosphatidyltransferase	144	7270730
Cell division protein SepF	3215	7270730
Late transcription unit B	2	7270730
CHY zinc finger	31	7270730
Peptidase clan U	3107	7270730
Nucleotide modification associated domain 4	428	7270730
Tetrahydrobiopterin biosynthesis-like enzyme superfamily	3542	7270730
Predicted periplasmic lipoprotein (DUF2279)	39	7270730
Cysteine-rich VLP	386	7270730
SWIM zinc finger	319	7270730
Nucleotide modification associated domain 1	3083	7270730
Endosomal/lysosomal potassium channel TMEM175	58	7270730
Tellurits and antibiotic resistance superfamily	40	7270730
Intrinsic membrane protein PufX	71	7270730
Immunity protein 59	15	7270730
23S rRNA-intervening sequence protein	439	7270730
YoaP-like	1044	7270730
Domain of unknonw function from B. Theta Gene description (DUF3874)	878	7270730
Helicase associated domain	1268	7270730
HYD1 signature containing ADP-ribosyltransferase	7	7270730
Amino acid biosynthesis and glycosomal dehydrogenase	605	7270730
Immunity protein 27	97	7270730
KxYKxGKxW signal peptide	25	7270730
Crustacean cuticle protein repeat	16	7270730
Phage protein (N4 Gp49/phage Sf6 gene 66) family	397	7270730
Argininosuccinate lyase C-terminal	1290	7270730
RHS Repeat	445	7270730
RHS protein	61	7270730
HNH/Endo VII superfamily nuclease toxins	33	7270730
2-hydroxy-palmitic acid dioxygenase Mpo1-like	540	7270730
HNH/Endo VII superfamily toxin with a SHH signature	6	7270730
Large polyvalent protein-associated domain 1	47	7270730
Phospholipase D superfamily	3131	7270730
SPOUT Methyltransferase Superfamily	208	7270730
Bacteriocin class IIc cyclic gassericin A-like	3	7270730
ORF11CD3 domain	74	7270730
Immunity protein 35	70	7270730
Formyl transferase	1920	7270730
B12 binding domain	23	7270730
Clp amino terminal domain	764	7270730
PPE-SVP subfamily C-terminal region	76	7270730
Uncharacterized YmpT-like	4	7270730
Sec23/Sec24 zinc finger	56	7270730
Putative methionine and alanine importer	36	7270730
FhuF 2Fe-2S C-terminal domain	108	7270730
Host cell surface-exposed lipoprotein	520	7270730
Transcription elongation factor G C-terminal	16499	7270730
Membrane-bound lysozyme-inhibitor of c-type lysozyme	407	7270730
HP1451 C-terminal domain	45	7270730
LuxS/MPP-like metallohydrolase	3845	7270730
Peptidase dimerisation domain	12	7270730
YorP protein	3	7270730
Uncharacterized YqaH-like	19	7270730
Uncharacterized YnfE-like	6	7270730
Late transcription unit A	2	7270730
Accessory secretory protein Sec	28	7270730
Calycin superfamily	1322	7270730
YonK protein	57	7270730
Transposon-encoded protein TnpV	753	7270730
Cobalamin synthesis G C-terminus	16	7270730
Putative CRISPR-associated protein (Cas_VVA1548)	145	7270730
Bacillus competence pheromone ComX	21	7270730
MAP domain	1	7270730
Mo-dependent nitrogenase C-terminus	78	7270730
Bacterial flagellin C-terminal helical region	7487	7270730
3-alpha domain	883	7270730
Peptidase clan SF	666	7270730
OsmC-like protein	6726	7270730
Putative membrane protein	31	7270730
Na+ dependent nucleoside transporter N-terminus	8	7270730
zinc-finger	24	7270730
Thrombospondin type 3 repeat superfamily	359	7270730
Gas vesicle synthesis protein GvpO	308	7270730
Copper resistance protein K	120	7270730
Toprim domain	1775	7270730
Polyribonucleotide phosphorylase C terminal	32	7270730
Protein gp45 of Bacteriophage A118	4	7270730
CbeA_antitoxin	23	7270730
Uncharacterized ACR	2026	7270730
ribonuclease	606	7270730
Nucleopolyhedrovirus P10 protein	11	7270730
GspC HR domain/PilP-like superfamily	945	7270730
Glycosyl transferase clan GT-B	13407	7270730
Phage conserved hypothetical protein BR0599	131	7270730
Immunity protein 32	45	7270730
LrgA family	219	7270730
Low affinity iron permease	7	7270730
Stealth protein CR4	146	7270730
Caulimovirus viroplasmin	212	7270730
"Glutathione S-transferase, C-terminal domain"	9447	7270730
Phenylalanine- and lysidine-tRNA synthetase domain superfamily	2455	7270730
Immunity protein 74	167	7270730
DCC1-like thiol-disulfide oxidoreductase	122	7270730
Colicin D/E5 nuclease domain superfamily	32	7270730
XisI protein	22	7270730
Npun R1517	35	7270730
Cytochrome B6-F complex subunit VI (PetL)	20	7270730
Toxin co-regulated pilus biosynthesis protein Q	87	7270730
Insertion element 4 transposase N-terminal	7	7270730
Tsi6	36	7270730
Enolase N-terminal domain-like superfamily	4	7270730
Endodeoxyribonuclease RusA	201	7270730
Formamidopyrimidine-DNA glycosylase N-terminal domain	6	7270730
Fels-1 Prophage Protein-like	20	7270730
Type II intron maturase-like superfamily	593	7270730
Control of competence regulator ComK	190	7270730
Tail virion protein G7P	2	7270730
Large polyvalent protein-associated domain 11	331	7270730
Csp protease B prodomain	17	7270730
Bacteriocin class IId cyclical uberolysin-like	7	7270730
PIN domain superfamily	692	7270730
Immunity protein 53	125	7270730
Bacterial epsilon antitoxin	22	7270730
AntA/AntB antirepressor	48	7270730
Phosphate propanoyltransferase	1871	7270730
NFACT protein RNA binding domain	107	7270730
Ion channel (VIC) superfamily	1040	7270730
MbeD/MobD like	83	7270730
Plasmid conjugative transfer protein PilI	4	7270730
Extended Signal Peptide of Type V secretion system	65	7270730
N-terminal domain of cytochrome oxidase-cbb3	6	7270730
"F-type and N-type ATPase, I/AtpR subunit"	279	7270730
Phage fibre superfamily	78	7270730
GpV Apex motif	162	7270730
Minor tail protein T	33	7270730
YecR-like lipoprotein	40	7270730
WG containing repeat	1508	7270730
Hydrolase of X-linked nucleoside diphosphate N terminal	58	7270730
Homologues of TraJ from Bacteroides conjugative transposon	174	7270730
PVL ORF-50-like family	4	7270730
CtsR C-terminal dimerization domain	848	7270730
PDZ domain-like peptide-binding superfamily	27172	7270730
Primase C terminal 1 (PriCT-1)	254	7270730
Adenylosuccinate lyase C-terminus	6327	7270730
T3SS EscN ATPase C-terminal domain	2531	7270730
Fibronectin binding repeat	1	7270730
Fic/DOC family	180	7270730
Phage head-tail joining protein	496	7270730
Uncharacterized protein conserved in bacteria (DUF2135)	225	7270730
3'DNA-binding domain (3'BD)	7	7270730
LasR-specific antiactivator QslA chain E	21	7270730
VOC superfamily	1174	7270730
Putative Immunity protein 75	2	7270730
Fucose-binding lectin II (PA-IIL)	1	7270730
Death Domain Superfamily	130	7270730
OmpA family	4305	7270730
ADP-ribosylation Superfamily	400	7270730
Udp N-acetylglucosamine O-acyltransferase; Domain 2	5427	7270730
LeuD/IlvD-like	4142	7270730
Lycopene cyclase	200	7270730
Tetraspannin-like	1	7270730
Exopolysaccharide production protein YjbE	6	7270730
YmaF family	29	7270730
Flagellar transcriptional activator (FlhD)	110	7270730
Lysis protein	10	7270730
Putative coat protein	12	7270730
YARHG domain	534	7270730
Hpt domain	2935	7270730
Regulator of ribonuclease activity B	127	7270730
Aureocin-like type II bacteriocin	7	7270730
Immunity protein 63	12	7270730
MapZ extracellular C-terminal domain 2	28	7270730
N-terminal TM domain of oligopeptide transport permease C	27	7270730
Uncharacterized KorC regulated protein A	38	7270730
Binding-prot-dependent transport system membrane comp	17	7270730
Peptidase clan MA	1761	7270730
Type III secretion system ExsE	10	7270730
FAD-linked oxidase C-terminal domain superfamily	6518	7270730
Sigma-M inhibitor	3	7270730
3' exoribonuclease family	5280	7270730
Lipoprotein Rz1 precursor	24	7270730
Bacterial phospholipase C	94	7270730
M penetrans paralogue family 26	50	7270730
Accessory recombination function protein	4	7270730
Type III secretion basal body protein I	8	7270730
Flagellar biosynthesis protein	524	7270730
Transposase C of IS166 homeodomain	43	7270730
Carbohydrate-binding superfamily	39	7270730
secA translation cis-regulator SecM	10	7270730
Extracellular fibrinogen binding protein C terminal	3	7270730
NUDIX superfamily	622	7270730
PNKP adenylyltransferase domain	320	7270730
Replication initiator protein A C-terminal domain	16	7270730
Scorpion toxin-like knottin superfamily	53	7270730
Haemolysin-type calcium binding protein related domain	85	7270730
C-terminal domain of 1-Cys peroxiredoxin	6191	7270730
Plectrovirus spv1-c74 ORF 12 transmembrane protein	6	7270730
Iron hydrogenase small subunit	3398	7270730
Cyclophilin-like superfamily	177	7270730
Flagellar motor switch protein FliN N-terminal	5	7270730
Polysaccharide lyase family 8	36	7270730
Putative Gamma DNA binding protein G5P	1	7270730
Dimerisation domain of Zinc Transporter	3957	7270730
Helicobacter pylori IceA2 protein	12	7270730
Poly(hydroxyalcanoate) granule associated protein (phasin)	62	7270730
Bacterial CdiA-CT RNAse A domain	14	7270730
Initiation control protein YabA	66	7270730
Chain length determinant protein	14	7270730
Mycobacterium 19 kDa lipoprotein antigen	32	7270730
RNA polymerase Rpb2	6931	7270730
Carbohydrate binding domain superfamily	241	7270730
Urease beta subunit	221	7270730
Phage-encoded virulence factor	3	7270730
PyrBI operon leader peptide	6	7270730
Minor capsid protein	140	7270730
Cyanate lyase C-terminal domain	1156	7270730
NUMOD4 motif	222	7270730
Bacterial enterotoxin OB-fold	93	7270730
beta-Barrel protease inhibitors	191	7270730
DnaJ central domain	134	7270730
holin	3	7270730
Aspartate carbamoyltransferase regulatory chain	2168	7270730
P22AR C-terminal domain	4	7270730
Immunity protein 51	24	7270730
"His-hydrophobic-His tranposase Y1,Y2 superfamily"	148	7270730
Carbohydrate binding domain 14/19 clan	36	7270730
CheC-like superfamily	648	7270730
BRO family	198	7270730
Uncharacterized protein conserved in bacteria (DUF2059)	1045	7270730
PAS domain clan	745	7270730
Leucine Rich Repeat	1411	7270730
Inovirus G7P protein	3	7270730
Conjugative transposon protein TraL	408	7270730
Ycf66 protein N-terminus	54	7270730
CGNR zinc finger	1766	7270730
Flagellar hook capping protein - N-terminal region	200	7270730
Anti sigma-E protein RseA	81	7270730
Ribose/Galactose Isomerase	6	7270730
SufE/NifU superfamily	3852	7270730
Thiolase-like Superfamily	6802	7270730
Jag N-terminus	150	7270730
Spore cortex protein YabQ (Spore_YabQ)	103	7270730
Hydrazine synthase alpha subunit middle domain	2	7270730
CheR methyltransferase	14	7270730
CdaA N-terminal transmembrane domain	9	7270730
Putative plasmid partition protein	1	7270730
MORN repeat	1307	7270730
Formate dehydrogenase N	775	7270730
Iron/manganese superoxide dismutases	610	7270730
Glutamine synthetase	23	7270730
Arginine decarboxylase C-terminal helical extension	3661	7270730
MucB/RseB C-terminal domain	251	7270730
Oligopeptide/dipeptide transporter	8041	7270730
GHMP C-terminal domain superfamily	2925	7270730
Peptidase clan AD	4	7270730
Post-HMGL domain-like superfamily	1160	7270730
EDD superfamily	5	7270730
Ferredoxin-fold anticodon binding domain	6100	7270730
Chlorhexidine efflux transporter	299	7270730
Transporter associated domain	10640	7270730
Immunity protein 40	28	7270730
Bacterial toxin 37	15	7270730
Pyruvate kinase	936	7270730
Type-F conjugative transfer system protein (TrbI_Ftype)	9	7270730
Maltoporin periplasmic N-terminal extension	5	7270730
Catalase-related immune-responsive	737	7270730
Rnk N-terminus	7	7270730
Molybdopterin oxidoreductase N-terminal domain	7	7270730
Ribonuclease J C-terminal domain	3209	7270730
Uncharacterized conserved protein (DUF2190)	54	7270730
Osmosensory transporter coiled coil	87	7270730
Cell Wall Hydrolase	2033	7270730
Putative flagellar	875	7270730
Toxin TisB	1	7270730
MerT mercuric transport protein	31	7270730
Fic/DOC family N-terminal	12	7270730
Immunoglobulin superfamily	672	7270730
Pyruvate ferredoxin oxidoreductase beta subunit C terminal	374	7270730
Barnase-EndoU-ColicinE5/D-RelE like nuclease	25	7270730
FMN-binding split barrel superfamily	279	7270730
cIII protein family	7	7270730
Thiamin pyrophosphokinase	2366	7270730
Prolyl-tRNA synthetase	4156	7270730
3H domain	627	7270730
Bacterial toxin 35	32	7270730
TubC N-terminal docking domain	100	7270730
PrcB C-terminal	898	7270730
SMF/DprA-LOG (SLOG)	66	7270730
SeqA protein C-terminal domain	17	7270730
FlaG protein	216	7270730
Biotin and Thiamin Synthesis associated domain	1923	7270730
Phosphohydrolase-associated domain	4014	7270730
Glycine cleavage T-protein C-terminal barrel domain	12403	7270730
2H phosphoesterase superfamily	1025	7270730
ThiC-associated domain	5	7270730
Spermidine synthase tetramerisation domain	32	7270730
Mirror Beta Grasp superfamily	50	7270730
PKHD-type hydroxylase C-terminal domain	1662	7270730
Flagellar protein FliS	95	7270730
Major tropism determinant N-terminal domain	607	7270730
Cytotoxic	41	7270730
LppP/LprE lipoprotein	129	7270730
Peptidase family U32 C-terminal domain	2290	7270730
Heat-stable enterotoxin B	1	7270730
P22_AR N-terminal domain	1	7270730
Dinitrogenase iron-molybdenum cofactor	195	7270730
NADH ubiquinone oxidoreductase subunit NDUFA12	144	7270730
YppG-like protein	4	7270730
Phosphate regulon sensor protein PhoR	1	7270730
Antitermination protein	11	7270730
Putative biofilm-dependent modulation protein	9	7270730
KaiA/RbsU domain superfamily	92	7270730
ANL superfamily	42	7270730
Phospholipase A2 superfamily	29	7270730
Double-stranded DNA-binding domain	189	7270730
CRISPR-associated protein (Cas_csx3)	36	7270730
Methanogenesis regulatory protein FilR1	79	7270730
N-acetylmuramoyl-L-alanine amidase	1157	7270730
B region of SasG biofilm-forming surface protein	245	7270730
impB/mucB/samB family C-terminal domain	258	7270730
Probable substrate-binding preceding ATP-grasp domain	41	7270730
Bacterial immunoglobulin/albumin-binding domain superfamily	9	7270730
GTPase-associated adaptor domain	27	7270730
"PapD-like superfamily,immunoglobulin-like beta sandwich"	738	7270730
Putative Actinobacterial Holin-X	137	7270730
Outer-membrane lipoprotein Wza C-terminal domain	161	7270730
G-rich domain on putative tyrosine kinase	301	7270730
BPD transporter like	5806	7270730
Curli assembly protein CsgE	17	7270730
YvbH-like oligomerisation region	26	7270730
Rap1a immunity proteins	411	7270730
Cell division protein FtsA	90	7270730
Riboflavin synthase/Ferredoxin reductase FAD binding domain	1468	7270730
Topoisomerase C-terminal repeat	2531	7270730
DinB-like superfamily	4	7270730
Fumarate reductase respiratory complex transmembrane subunits	141	7270730
Transcription elongation factor	74	7270730
Membrane MotB of proton-channel complex MotA/MotB	17	7270730
EspF protein repeat	1	7270730
YggL 50S ribosome-binding protein	47	7270730
Inhibitor of vertebrate lysozyme (Ivy)	22	7270730
DnaJ homologue	62	7270730
IPTL-CTERM motif	106	7270730
Peptidase clan AA	1306	7270730
FixH-like	263	7270730
Pelota - RNA ribose binding superfamily	487	7270730
APC superfamily	3623	7270730
Acyl-CoA dehydrogenase N terminal	17	7270730
PetN	58	7270730
GLTT repeat (6 copies)	56	7270730
Hemimethylated DNA-binding protein YccV like	468	7270730
Cdc48 domain 2-like	16	7270730
Flagellar motor switch family	330	7270730
Gamma-Crystallin-like superfamily	204	7270730
Fertility inhibition protein N terminal	2	7270730
Haemophore	156	7270730
Dehydratase medium subunit	23	7270730
Phage X family	53	7270730
HAMP domains	1204	7270730
Glycine transporter	76	7270730
Yersinia virulence determinant (YopE)	1	7270730
Cystatin-like superfamily	93	7270730
Tn7 transposition regulator TnsC	34	7270730
Bacteriophage T7-like	33	7270730
"HUP - HIGH-signature proteins, UspA, and PP-ATPase."	2057	7270730
R3H domain	5637	7270730
Primosomal protein DnaI N-terminus	2	7270730
Bacterial alpha-L-rhamnosidase C-terminal domain	974	7270730
Ead/Ea22-like protein	2	7270730
N-terminal domain of reverse transcriptase	27	7270730
Bacteriophage holin of superfamily 6 (Holin_LLH)	197	7270730
L1 transposable element dsRBD-like domain	6	7270730
MOSC domain	563	7270730
CDI immunity protein	5	7270730
NADH-ubiquinone/plastoquinone oxidoreductase	2500	7270730
TipAS antibiotic-recognition domain	129	7270730
ATPase	43	7270730
Universal stress protein B (UspB)	11	7270730
Chemoreceptor zinc-binding domain	37	7270730
Anabaena sensory rhodopsin transducer	41	7270730
Colicin-E5 Imm protein	1	7270730
dATP/dGTP diphosphohydrolase	417	7270730
Mu transposase	104	7270730
Flagellar protein FlaF	70	7270730
Domain amino terminal to FKBP-type peptidyl-prolyl isomerase	3	7270730
RecR protein	19	7270730
Septum formation inhibitor MinC	2	7270730
Bacterial toxin 24	3	7270730
"beta-strand roll of R-module,  superfamily"	549	7270730
TRAF domain-like superfamily	85	7270730
Restriction Enzyme Adenine Methylase Associated	608	7270730
Nuclease N terminal	1	7270730
Phage tail fibre repeat	9	7270730
Nitrite/Sulfite reductase ferredoxin-like half domain	32	7270730
Beta-trefoil superfamily	134	7270730
Immunity protein 41	1	7270730
HSCB C-terminal oligomerisation domain	867	7270730
Transketolase C-terminal domain-like superfamily	1302	7270730
Steroid oxidoreductase superfamily	610	7270730
Sterile Alpha Motif (SAM) domain	447	7270730
Rhodanase C-terminal	263	7270730
Bet v 1 like	187	7270730
Starch-binding domain like superfamily	140	7270730
Gene product 63	4	7270730
Phage gene product 52	8	7270730
FBD	31	7270730
Retrovirus zinc finger-like domains	418	7270730
Cotton fibre expressed protein	46	7270730
Auxin responsive protein	45	7270730
TNP1/EN/SPM transposase	55	7270730
Trypsin-co-occurring domain 1	43	7270730
NADH-ubiquinone oxidoreductase subunit G	761	7270730
WRKY-GCM1 superfamily	143	7270730
Bacterial toxin 34	7	7270730
RNA/DNA-metabolising metallo-beta-lactamase motif	3593	7270730
Heterocyst differentiation regulator C-terminal Hood domain	7	7270730
Globin-like	43	7270730
GTP-binding protein LepA C-terminus	754	7270730
Cysteine-rich domain	640	7270730
DALR superfamily	750	7270730
Bacterial toxin 33	12	7270730
Protein kinase C terminal domain	119	7270730
Choline sulfatase enzyme C terminal	360	7270730
Transcription initiation factor IIA	51	7270730
Complex1_LYR-like superfamily	170	7270730
LTR-copia-type polyprotein segment	369	7270730
Skp1 family	260	7270730
5'-3'-exonuclease C-terminal sub-region	162	7270730
RWP-RK domain	134	7270730
Dynein light chain type 1	328	7270730
Iron-sulfur cluster-binding domain	3197	7270730
DNA replication complex GINS protein SLD5 C-terminus	70	7270730
LytR cell envelope-related transcriptional attenuator	1323	7270730
Putative serine dehydratase domain	883	7270730
Ribulose bisphosphate carboxylase	76	7270730
Secreted clade V proteins	2	7270730
Predicted membrane protein (DUF2069)	56	7270730
Psb28 protein	15	7270730
bZIP-like leucine zipper	54	7270730
CDP-alcohol phosphatidyltransferase 2	475	7270730
Lactate utilisation protein B	595	7270730
Transposase-associated domain	104	7270730
CAAD domains of cyanobacterial aminoacyl-tRNA synthetase	140	7270730
FecR protein	312	7270730
26S proteasome regulatory subunit RPN5 C-terminal domain	77	7270730
DEK C terminal domain	51	7270730
AMIN domain	34	7270730
THUMP domain-like	971	7270730
Csm2 Type III-A	35	7270730
CreA protein	7	7270730
Sporulation protein YtfJ (Spore_YtfJ)	543	7270730
"Tubulin, FtsZ and Misato and their C-termini,"	94	7270730
RecQ zinc-binding	87	7270730
Cysteine-rich secretory proteins	551	7270730
Stage V sporulation protein AB	80	7270730
Copper amine oxidase N-terminal domain	651	7270730
Conserved phage C-terminus (Phg_2220_C)	116	7270730
Penicillin-binding protein 5	1017	7270730
Defence against restriction A C-terminal	483	7270730
Bacteriophage holin family	176	7270730
Amidohydrolase superfamily	1387	7270730
Mitochondrial carrier protein	687	7270730
Tim10/DDP family zinc finger	197	7270730
CCT like-motif	55	7270730
WW domain	407	7270730
MGS-like domain	107	7270730
A repeated domain in UCH-protein	91	7270730
Periplasmic binding protein clan	19	7270730
NUMOD3 motif	167	7270730
Classical C2H2 and C2HC zinc fingers	1545	7270730
YbbR-like protein	263	7270730
Sporulation protein YunB (Spo_YunB)	372	7270730
TspO/MBR family	2	7270730
Phage tail sheath C-terminal domain	724	7270730
PrgI family protein	248	7270730
ATP synthase F0 subunit	481	7270730
Superoxide reductase-like superfamily	1769	7270730
Ribose-5-phosphate isomerase	442	7270730
Bacterial toxin 30	4	7270730
Heme NO and oxygen binding like	514	7270730
Secretin and TonB N terminus short domain	138	7270730
Kleisin superfamily	296	7270730
Adenylosuccinate lyase C-terminal	254	7270730
Families 57/38 glycoside transferase middle domain superfamily	566	7270730
HD/PDEase superfamily	111	7270730
Glutaminase/Asparaginase C-terminal domain	320	7270730
Alkaline phosphatase-like	509	7270730
Sortase domain	92	7270730
L	142	7270730
BofC C-terminal domain	169	7270730
Transposase zinc-binding domain	31	7270730
SseB protein N-terminal domain	75	7270730
XdhC and CoxI family	477	7270730
Collagen triple helix repeat (20 copies)	212	7270730
BREX protein BrxB	69	7270730
NusG domain II	241	7270730
HflX C-terminal domain	116	7270730
REase associating with pPIWI_RE	4	7270730
GAF domain-like	80	7270730
Periplasmic binding protein like	70	7270730
Abortive infection C-terminus	203	7270730
Uncharacterized protein conserved in bacteria (DUF2200)	131	7270730
Polypeptide deformylase	2	7270730
General secretion pathway protein M	2203	7270730
Sorbitol phosphotransferase enzyme II C-terminus	148	7270730
DnaT DNA-binding domain	73	7270730
S-adenosylmethionine synthetase	33	7270730
Stealth protein CR1	19	7270730
4'-phosphopantetheinyl transferase superfamily	487	7270730
Methylene-tetrahydrofolate reductase C terminal	90	7270730
CRISPR-associated (Cas) Repair Associated Mysterious Proteins	280	7270730
Glycosyl transferase family 8 C-terminal	29	7270730
NigD-like C-terminal beta sandwich domain	25	7270730
Acyl-CoA dehydrogenase C terminal	71	7270730
Cation transporter/ATPase	115	7270730
Thiamine pyrophosphokinase C terminal	486	7270730
Sirohaem biosynthesis protein central	561	7270730
Uncharacterized protein containing a ferredoxin domain (DUF2148)	374	7270730
Membrane iron-sulfur containing protein FtrD-like	184	7270730
NusG-like	36	7270730
Acid phosphatase/Vanadium-dependent haloperoxidase	250	7270730
Large polyvalent protein associated domain 28	121	7270730
Chitin biosynthesis protein CHS5 N-terminus	5	7270730
Lantibiotic immunity protein Spa1 C-terminal domain	15	7270730
Colicin E1 (microcin) immunity protein	2	7270730
Large polyvalent protein-associated domain 16	14	7270730
Colicin-K immunity	1	7270730
TonB-dependent Receptor Plug Domain	82	7270730
YbfN-like lipoprotein	6	7270730
Large polyvalent protein associated domain 24	39	7270730
UreE urease accessory protein	510	7270730
ATP synthase j chain	7	7270730
Cytochrome c oxidase subunit Va	2	7270730
DASH complex subunit Dad1	6	7270730
Transcription factor TFIIH complex subunit Tfb5	61	7270730
U4/U6.U5 small nuclear ribonucleoproteins	72	7270730
NADH-ubiquinone oxidoreductase MWFE subunit	16	7270730
Lantibiotic alpha	8	7270730
Non-classical export protein 1	14	7270730
Nbl1 / Borealin N terminal	2	7270730
HMG-box like superfamily	253	7270730
Cytochrome c oxidase assembly protein PET191	19	7270730
DASH complex subunit Hsk3 like	18	7270730
NADH-ubiquinone oxidoreductase B12 subunit family	27	7270730
PET assembly of cytochrome c oxidase	19	7270730
ATP synthase subunit K	8	7270730
Wyosine base formation	435	7270730
MoaE protein	8	7270730
ProQ/FINO family	9	7270730
Fumarate reductase flavoprotein C-term	114	7270730
YodL-like	189	7270730
AN1-like Zinc finger	383	7270730
Uncharacterized protein conserved in bacteria (DUF2155)	409	7270730
Bacterial membrane GlpM-like group	17	7270730
Chaperone of endosialidase	1346	7270730
ell wall binding domain 2 (CWB2)	169	7270730
Pentapeptide repeats (8 copies)	5	7270730
Mitochondrial degradasome RNA helicase subunit C terminal	122	7270730
C-terminus of histone H2A	642	7270730
YmgD protein	5	7270730
23S rRNA methylastransferase leader peptide (ErmCL)	1	7270730
LeuA allosteric (dimerisation) domain	547	7270730
SUKH superfamily	27	7270730
Putative antitoxin of bacterial toxin-antitoxin system	1	7270730
Curlin associated repeat	56	7270730
PTS system glucitol/sorbitol-specific IIA component	54	7270730
Baseplate upper protein immunoglobulin like domain	7	7270730
Phi29 scaffolding protein	13	7270730
Toxin YafO	3	7270730
S-layer protein SbsC C-terminal domain	134	7270730
Hydrogenase/urease nickel incorporation	136	7270730
Uncharacterized conserved protein (DUF2304)	123	7270730
Energy-converting hydrogenase subunit EhaL	10	7270730
MutS domain I	12	7270730
SseB protein C-terminal domain	89	7270730
Cytidine deaminase-like (CDA) superfamily	117	7270730
dUTPase like superfamily	8	7270730
Putative nuclear envelope organisation protein	52	7270730
Uncharacterized conserved protein (DUF2293)	266	7270730
DnaB-helicase binding domain of primase	27	7270730
RNase III domain-like superfamily	59	7270730
Mpv17 / PMP22 family	213	7270730
Glycine-rich SFCGS	3	7270730
